TABLE_DESC_THAI,UNIT1T,NOTE1T,SOURCE_THAI1,COMPILED_BY_THAI1,คุณภาพน้ำทะเล,ชายฝั่งทะเล,ปี,จำนวน
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2547,3.9-7.8
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2548,4.6 - 5.7
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2549,6.4 - 7.8
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2550,6.6 - 7.8
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2551,6.3 - 7.02
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2552,6.38 - 6.97
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2553,4.73-8.03
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2554,4.47 - 6.49
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2555,6.09-6.41
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2556,3.45-7.02
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2557,5.90 - 6.50
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2558,5.25 - 7.56
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2541,4.0 - 6.6
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2542,6.5 - 7.9
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2543,6.6 - 8.0
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2544,3.4 - 6.4
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2545,5.8
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2546,5.3-5.6
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2547,3.3-6.9
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2548,8.0 - 8.5
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2549,7.2 - 8.5
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2550,5.1 - 6.9
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2551,5.49 - 5.8
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2552,4.03 - 6.055
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2553,4.60-5.44
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2554,3.74 - 7.85
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2555,4.92-6.57
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2556,2.68-5.49
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2557,3.75 - 7.30
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2558,2.64 - 5.96
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2541,4.9 - 6.7
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2542,6.5 - 7.6
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2543,6.5 - 7.6
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2544,2.1 - 6.6
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2545,         6.4 - 7.0
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2546,3.7-6.6
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2547,4.6-9.1
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2548,7.4 - 8.6
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2549,6.0 - 7.5
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2550,5.9 - 7.7
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2551,5.15 - 7.0
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2552,4.20 - 7.13
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2553,3.27-8.11
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2554,4.86 - 7.22
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2555,4.54-6.31
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2556,3.33-5.99
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2557,4.70 - 6.54
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2558,3.09 - 5.80
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดพัทยา,2541,5.2 - 6.7
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดพัทยา,2542,6.7 - 7.4
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดพัทยา,2543,6.1 - 7.0
คุณภาพน้ำทะเลบริเวณชายฝั่งทะเลที่สำคัญ ปี พ.ศ.,"มก./ล.ม, เอ็มพีเอ็น/100 มล.",,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดพัทยา,2544,4.0 - 6.0
