location,คุณภาพน้ำทะเล,ปี,จำนวน,lat,lng
จันทบุรี - ตราด,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2543,"< 2 - 1,300",12.374657,102.154999
จันทบุรี - ตราด,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2544,"2 - 9,000",12.374657,102.154999
จันทบุรี - ตราด,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2545,"<2 - 9,000",12.374657,102.154999
จันทบุรี - ตราด,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2546,"<2-16,000",12.374657,102.154999
จันทบุรี - ตราด,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2547,"<2-350,000",12.374657,102.154999
จันทบุรี - ตราด,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2548,"< 2 - 3,300",12.374657,102.154999
จันทบุรี - ตราด,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2549,"< 2 - 49,000",12.374657,102.154999
จันทบุรี - ตราด,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2550,"2 - 11,000",12.374657,102.154999
จันทบุรี - ตราด,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2551,"1.8 - 2,400",12.374657,102.154999
จันทบุรี - ตราด,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2552,"<1.8 - 160,000",12.374657,102.154999
จันทบุรี - ตราด,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2553,"1.8->160,000",12.374657,102.154999
จันทบุรี - ตราด,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2554,"<1 - >160,000",12.374657,102.154999
จันทบุรี - ตราด,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2555,"<1.8 -160,000",12.374657,102.154999
จันทบุรี - ตราด,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2556,"<1.8 - 2,800",12.374657,102.154999
จันทบุรี - ตราด,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2557,"<1 - 4,050",12.374657,102.154999
จันทบุรี - ตราด,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2558,"<1.8 - 3,300",12.374657,102.154999
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2542,5.5 - 8.4,12.374657,102.154999
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2543,5.5 - 9.9,12.374657,102.154999
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2544,2.4 - 7.7,12.374657,102.154999
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2545,5.4 - 6.8,12.374657,102.154999
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2546,3.5-7.2,12.374657,102.154999
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2547,5.0-8.5,12.374657,102.154999
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2548,4.4 - 9.1,12.374657,102.154999
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2549,4.8 - 7.7,12.374657,102.154999
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2550,5.8 - 7.5,12.374657,102.154999
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2551,5.72 - 6.92,12.374657,102.154999
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2552,4.01 - 7.26,12.374657,102.154999
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2553,3.7 - 8.00,12.374657,102.154999
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2554,3.50 - 7.10,12.374657,102.154999
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2555,4.30-8.40,12.374657,102.154999
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2556,3.86 - 6.85,12.374657,102.154999
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2557,5.52 - 8.8,12.374657,102.154999
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2558,4.43 - 6.20,12.374657,102.154999
ปากน้ำระยอง,ปริมาณออกซิเจนละลายน้ำมก./ล.,2556,4.24-5.73,12.6660559,101.2598702
ปากน้ำระยอง,ปริมาณออกซิเจนละลายน้ำมก./ล.,2557,6.93 - 7.12,12.6660559,101.2598702
ปากน้ำระยอง,ปริมาณออกซิเจนละลายน้ำมก./ล.,2558,5.53 - 5.68,12.6660559,101.2598702
ปากน้ำระยอง,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2557,<1,12.6660559,101.2598702
ปากน้ำระยอง,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2558,4.5 - 790,12.6660559,101.2598702
ปากน้ำระยอง,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2556,34 - 79,12.6660559,101.2598702
ปากแม่น้ำประแสร์,ปริมาณออกซิเจนละลายน้ำมก./ล.,2558,5.00 - 5.28,12.6970184,101.7046295
ปากแม่น้ำประแสร์,ปริมาณออกซิเจนละลายน้ำมก./ล.,2556,3.95-5.90,12.6970184,101.7046295
ปากแม่น้ำประแสร์,ปริมาณออกซิเจนละลายน้ำมก./ล.,2557,5.95 - 6.37,12.6970184,101.7046295
ปากแม่น้ำประแสร์,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2556,"540 - 3,500",12.6970184,101.7046295
ปากแม่น้ำประแสร์,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2557,<1 - 220,12.6970184,101.7046295
ปากแม่น้ำประแสร์,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2558,79 - 330,12.6970184,101.7046295
ท่าเรือประมง (ตลาดบ้านเพ),ปริมาณออกซิเจนละลายน้ำมก./ล.,2558,5.35 - 5.58,12.6229835,101.4301797
ท่าเรือประมง (ตลาดบ้านเพ),แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2557,<1 - 580,12.6229835,101.4301797
ท่าเรือประมง (ตลาดบ้านเพ),ปริมาณออกซิเจนละลายน้ำมก./ล.,2556,5.15-6.38,12.6229835,101.4301797
ท่าเรือประมง (ตลาดบ้านเพ),ปริมาณออกซิเจนละลายน้ำมก./ล.,2557,6.16 - 6.68,12.6229835,101.4301797
ท่าเรือประมง (ตลาดบ้านเพ),แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2556,<1.8 - 14,12.6229835,101.4301797
ท่าเรือประมง (ตลาดบ้านเพ),แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2558,2.0 - 17,12.6229835,101.4301797
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2541,4.1 - 6.8,8.4303975,99.9631219
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2544,3.5 - 7.6,8.4303975,99.9631219
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2545,6.0 - 7.3,8.4303975,99.9631219
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2542,3.2 - 7.8,8.4303975,99.9631219
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2543,4.3 - 9.0,8.4303975,99.9631219
นครศรีธรรมราช,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2541,"< 2 - 3,300",8.4303975,99.9631219
นครศรีธรรมราช,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2542,"< 2 - 2,400",8.4303975,99.9631219
นครศรีธรรมราช,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2543,"< 2 - 16,000",8.4303975,99.9631219
นครศรีธรรมราช,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2544,<2 - 500,8.4303975,99.9631219
นครศรีธรรมราช,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2545,<2 - 8,8.4303975,99.9631219
นครศรีธรรมราช,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2546,"<2-1,700",8.4303975,99.9631219
นครศรีธรรมราช,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2547,"<2-3,500",8.4303975,99.9631219
นครศรีธรรมราช,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2548,< 2 - 240,8.4303975,99.9631219
นครศรีธรรมราช,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2549,"< 2 - 24,000",8.4303975,99.9631219
นครศรีธรรมราช,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2550,"2.0 - 4,000",8.4303975,99.9631219
นครศรีธรรมราช,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2551,"1.8 - 1,600",8.4303975,99.9631219
นครศรีธรรมราช,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2552,"<1.8 - 5,400",8.4303975,99.9631219
นครศรีธรรมราช,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2553,"<1.8-3,500",8.4303975,99.9631219
นครศรีธรรมราช,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2554,"5 - 350,000",8.4303975,99.9631219
นครศรีธรรมราช,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2555,"<1.8-4,900",8.4303975,99.9631219
นครศรีธรรมราช,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2556,"<1.8 - 13,000",8.4303975,99.9631219
นครศรีธรรมราช,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2557,<1 - 84,8.4303975,99.9631219
นครศรีธรรมราช,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2558,"<1.8 - 1,300",8.4303975,99.9631219
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2555,4.50-6.50,8.4303975,99.9631219
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2556,4.16-6.86,8.4303975,99.9631219
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2557,4.81 - 6.81,8.4303975,99.9631219
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2558,4.7 - 6.32,8.4303975,99.9631219
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2546,5.6-7.4,8.4303975,99.9631219
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2547,4.4-8.7,8.4303975,99.9631219
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2548,7.9 - 8.6,8.4303975,99.9631219
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2549,4.9 - 7.2,8.4303975,99.9631219
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2550,5.1 - 8.0,8.4303975,99.9631219
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2551,5.14 - 7.92,8.4303975,99.9631219
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2552,4.73 - 7.62,8.4303975,99.9631219
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2553,2.70-7.80,8.4303975,99.9631219
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2554,3.60 - 6.50,8.4303975,99.9631219
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2551,5.87 - 7.70,7.7461158,98.77841
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2552,5.37 - 7.38,7.7461158,98.77841
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2553,5.76-7.5,7.7461158,98.77841
เกาะพีพี,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2558,"<1.8 - 13,000",7.7461158,98.77841
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2542,5.0 - 6.6,7.7461158,98.77841
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2543,4.5 - 7.3,7.7461158,98.77841
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2544,4.1 - 7.4,7.7461158,98.77841
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2545,5.1 - 6.9,7.7461158,98.77841
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2546,4.6-6.3,7.7461158,98.77841
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2547,4.4-8.2,7.7461158,98.77841
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2548,5.0 - 6.4,7.7461158,98.77841
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2549,6.1 - 8.2,7.7461158,98.77841
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2550,3.0 - 7.6,7.7461158,98.77841
เกาะพีพี,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2541,< 2 - 790,7.7461158,98.77841
เกาะพีพี,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2542,"2 - 2,400",7.7461158,98.77841
เกาะพีพี,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2543,"< 2 - 35,000",7.7461158,98.77841
เกาะพีพี,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2544,2 - 140,7.7461158,98.77841
เกาะพีพี,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2545,<2 - 110,7.7461158,98.77841
เกาะพีพี,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2546,<3-240,7.7461158,98.77841
เกาะพีพี,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2547,"<3-> 2,400",7.7461158,98.77841
เกาะพีพี,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2548,"< 2 - 7,900",7.7461158,98.77841
เกาะพีพี,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2549,< 2 - 240,7.7461158,98.77841
เกาะพีพี,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2550,2.0 - 900,7.7461158,98.77841
เกาะพีพี,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2551,1.8 - 2,7.7461158,98.77841
เกาะพีพี,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2552,<1.8 - 350,7.7461158,98.77841
เกาะพีพี,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2553,<1.8-540,7.7461158,98.77841
เกาะพีพี,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2554,33 - 330,7.7461158,98.77841
เกาะพีพี,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2555,"49-7,900",7.7461158,98.77841
เกาะพีพี,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2556,6.10 - 49,7.7461158,98.77841
เกาะพีพี,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2557,<1 - 41,7.7461158,98.77841
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2541,5.3 - 6.7,7.7461158,98.77841
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2555,5.06-6.05,7.7461158,98.77841
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2556,5.36-6.45,7.7461158,98.77841
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2557,6.00 - 6.11,7.7461158,98.77841
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2558,5.1 - 6.35,7.7461158,98.77841
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2554,5.8 - 7.2,7.7461158,98.77841
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2541,5.1 - 6.6,9.5120168,100.0135929
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2544,5.3 - 7.2,9.5120168,100.0135929
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2545,6.1 - 7.7,9.5120168,100.0135929
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2542,4.9 - 6.8,9.5120168,100.0135929
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2543,4.2 - 7.2,9.5120168,100.0135929
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2548,8.1 - 8.7,9.5120168,100.0135929
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2549,5.5 - 7.3,9.5120168,100.0135929
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2546,5.6-8.4,9.5120168,100.0135929
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2547,5.9-7.8,9.5120168,100.0135929
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2553,4.20-9.20,9.5120168,100.0135929
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2554,2.88 - 9.20,9.5120168,100.0135929
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2555,4.55-8.10,9.5120168,100.0135929
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2556,4.45-5.62,9.5120168,100.0135929
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2557,4.95 - 7.0,9.5120168,100.0135929
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2558,4.42 - 5.89,9.5120168,100.0135929
เกาะสมุย,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2547,<2-540,9.5120168,100.0135929
เกาะสมุย,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2548,"< 2 - 24,000",9.5120168,100.0135929
เกาะสมุย,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2549,"< 2 - 2,400",9.5120168,100.0135929
เกาะสมุย,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2551,"1.8 - 22,000",9.5120168,100.0135929
เกาะสมุย,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2552,"<1.8 - 54,000",9.5120168,100.0135929
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2551,5.50 - 7.59,9.5120168,100.0135929
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2552,5.73 - 6.98,9.5120168,100.0135929
เกาะสมุย,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2541,"< 2 - 1,600",9.5120168,100.0135929
เกาะสมุย,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2542,"< 2 - 2,400",9.5120168,100.0135929
เกาะสมุย,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2543,"< 2 - 7,010",9.5120168,100.0135929
เกาะสมุย,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2544,2 - 170,9.5120168,100.0135929
เกาะสมุย,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2545,<2 - 300,9.5120168,100.0135929
เกาะสมุย,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2546,"<2-16,000",9.5120168,100.0135929
เกาะสมุย,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2556,<1.8 - 79,9.5120168,100.0135929
เกาะสมุย,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2553,<1.8-240,9.5120168,100.0135929
เกาะสมุย,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2554,"49 - 17,000",9.5120168,100.0135929
เกาะสมุย,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2555,"4.5-2,300",9.5120168,100.0135929
เกาะสมุย,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2557,<1 - 39,9.5120168,100.0135929
เกาะสมุย,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2558,"<1.8 - 160,000",9.5120168,100.0135929
เพชรบุรี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2551,5.44 - 7.66,12.9649215,99.6425883
เพชรบุรี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2552,4.12 - 7.01,12.9649215,99.6425883
เพชรบุรี,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2558,<1.8 - 790,12.9649215,99.6425883
