location,คุณภาพน้ำทะเล,ปี,จำนวน,lat,lng,min,max,avg
ปากน้ำระยอง,ปริมาณออกซิเจนละลายน้ำมก./ล.,2558,3.0 - 7.6,12.6660559,101.2598702,3.0 , 7.5,5.25
ปากแม่น้ำประแสร์,ปริมาณออกซิเจนละลายน้ำมก./ล.,2558,6.00 - 6.11,12.6970184,101.7046295,6.00 ,7.2,6.6
ปากแม่น้ำประแสร์,ปริมาณออกซิเจนละลายน้ำมก./ล.,2556,5.1 - 6.35,12.6970184,101.7046295,5.1 , 8.9,7
ปากแม่น้ำประแสร์,ปริมาณออกซิเจนละลายน้ำมก./ล.,2557,5.8 - 7.2,12.6970184,101.7046295,5.8 ,10.8,8.3
ท่าเรือประมง (ตลาดบ้านเพ),ปริมาณออกซิเจนละลายน้ำมก./ล.,2558,4.9 - 6.8,12.6229835,101.4301797,4.9 ,7.10,6
ท่าเรือประมง (ตลาดบ้านเพ),ปริมาณออกซิเจนละลายน้ำมก./ล.,2556,8.1 - 8.7,12.6229835,101.4301797,8.1 ,6.85,7.475
ท่าเรือประมง (ตลาดบ้านเพ),ปริมาณออกซิเจนละลายน้ำมก./ล.,2557,5.5 - 7.3,12.6229835,101.4301797,5.5 ,5.78,5.64
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2541,4.20-9.20,8.4303975,99.9631219,4.20, 6.6,5.4
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2544,2.88 - 9.20,8.4303975,99.9631219,2.88 , 7.9,5.39
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2545,4.55-8.10,8.4303975,99.9631219,4.55, 8.0,6.275
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2542,4.45-5.62,8.4303975,99.9631219,4.45, 6.4,5.425
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2543,4.95 - 7.0,8.4303975,99.9631219,4.95 ,5.8,5.375
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2555,1.15 - 5.91,8.4303975,99.9631219,1.15 , 6.8,3.975
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2556,2.30 - 6.68,8.4303975,99.9631219,2.30 ,7.2,4.75
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2557,1.5-6.67,8.4303975,99.9631219,1.5, 7.4,4.45
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2558,5.7 - 7.6,8.4303975,99.9631219,5.7 , 7.4,6.55
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2546,6.3 - 6.9,8.4303975,99.9631219,6.3 , 7.0,6.65
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2547,6.0 - 6.9,8.4303975,99.9631219,6.0 , 6.0,6
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2548,2.1 - 7.3,8.4303975,99.9631219,2.1 , 6.5,4.3
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2549,3.0 - 8.3,8.4303975,99.9631219,3.0 ,7.9,5.45
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2550,6.2-6.6,8.4303975,99.9631219,6.2,6.9,6.55
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2551,5.2-6.8,8.4303975,99.9631219,5.2, 8.7,6.95
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2552,4.0 - 6.8,8.4303975,99.9631219,4.0 , 7.5,5.75
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2553,2.9 - 7.6,8.4303975,99.9631219,2.9 , 7.6,5.25
นครศรีธรรมราช,ปริมาณออกซิเจนละลายน้ำมก./ล.,2554,3.8 - 7.7,8.4303975,99.9631219,3.8 ,6.81,5.305
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2551,3.20 - 128.60,7.7461158,98.77841,3.20 , 6.59,4.895
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2552,3.88 - 6.92,7.7461158,98.77841,3.88 ,5.74,4.81
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2553,4.70-7.25,7.7461158,98.77841,4.70, 5.53,5.115
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2542,4.29-6.20,7.7461158,98.77841,4.29,4.61,4.45
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2543,5.71-8.28,7.7461158,98.77841,5.71, 6.59,6.15
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2544,4.19 - 7.25,7.7461158,98.77841,4.19 , 5.41,4.8
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2545,2.05 - 7.43,7.7461158,98.77841,2.05 , 6.7,4.375
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2546,6.15 - 6.23,7.7461158,98.77841,6.15 , 6.64,6.395
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2547,6.18 - 6.5,7.7461158,98.77841,6.18 ,6.83,6.505
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2548,5.5 - 8.7,7.7461158,98.77841,5.5 ,6.7,6.1
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2549,6.4 - 7.6,7.7461158,98.77841,6.4 , 6.8,6.6
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2550,5.2 - 7.5,7.7461158,98.77841,5.2 , 6.9,6.05
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2541,5.0 - 7.7,7.7461158,98.77841,5.0 , 5.88,5.44
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2555,6.1 - 6.4,7.7461158,98.77841,6.1 , 6.8,6.45
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2556,5.6-6.9,7.7461158,98.77841,5.6, 8.6,7.1
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2557,6.0-7.2,7.7461158,98.77841,6.0, 7.4,6.7
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2558,8.1 - 8.9,7.7461158,98.77841,8.1 , 6.2,7.15
เกาะพีพี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2554,6.3 - 10.8,7.7461158,98.77841,6.3 ,7.4,6.85
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2541,6.5 - 7.5,9.5120168,100.0135929,6.5 , 6.7,6.6
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2544,6.14 - 7.94,9.5120168,100.0135929,6.14 ,6.41,6.275
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2545,6.25 - 6.68,9.5120168,100.0135929,6.25 ,7.02,6.635
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2542,5.71-7.10,9.5120168,100.0135929,5.71, 6.50,6.105
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2543,3.90 - 7.8,9.5120168,100.0135929,3.90 , 7.56,5.73
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2548,4.99-6.85,9.5120168,100.0135929,4.99, 7.8,6.395
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2549,5.13-5.78,9.5120168,100.0135929,5.13,7.8,6.465
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2546,5.89 - 6.67,9.5120168,100.0135929,5.89 , 5.7,5.795
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2547,5.75 - 8.39,9.5120168,100.0135929,5.75 , 7.8,6.775
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2553,4.2 - 6.6,9.5120168,100.0135929,4.2 , 7.89,6.045
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2554,6.5 - 7.9,9.5120168,100.0135929,6.5 , 7.84,7.17
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2555,6.6 - 8.0,9.5120168,100.0135929,6.6 , 5.0,5.8
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2556,3.4 - 6.4,9.5120168,100.0135929,3.4 , 6.8,5.1
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2557,5.8,9.5120168,100.0135929,5.8, 7.9,6.85
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2558,5.3-5.6,9.5120168,100.0135929,5.3, 6.2,5.75
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2551,4.03 - 6.055,9.5120168,100.0135929,4.03 , 6.6,5.315
เกาะสมุย,ปริมาณออกซิเจนละลายน้ำมก./ล.,2552,4.60-5.44,9.5120168,100.0135929,4.60, 6.3,5.45
เพชรบุรี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2551,4.7 - 7.0,12.9649215,99.6425883,4.7 , 7.0,5.85
เพชรบุรี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2552,6.6 - 7.5,12.9649215,99.6425883,6.6 , 7.5,7.05
เพชรบุรี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2542,6.36 - 7.54,12.9649215,99.6425883,6.36 , 7.54,6.95
เพชรบุรี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2543,6.21 - 6.92,12.9649215,99.6425883,6.21 , 6.92,6.565
เพชรบุรี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2544,6.09-6.96,12.9649215,99.6425883,6.09,6.96,6.525
เพชรบุรี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2545,6.3 - 7.2,12.9649215,99.6425883,6.3 , 7.2,6.75
เพชรบุรี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2546,5.35-6.06,12.9649215,99.6425883,5.35,6.06,5.705
เพชรบุรี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2547,5.09-7.33,12.9649215,99.6425883,5.09,7.33,6.21
เพชรบุรี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2548,4.05 - 6.55,12.9649215,99.6425883,4.05 , 6.55,5.3
เพชรบุรี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2549,5.7 - 9.97,12.9649215,99.6425883,5.7 ,9.97,7.835
เพชรบุรี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2550,5.4 - 7.6,12.9649215,99.6425883,5.4 , 7.6,6.5
เพชรบุรี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2541,4.72 - 4.79,12.9649215,99.6425883,4.72 , 4.79,4.755
เพชรบุรี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2555,5.9 - 6.7,12.9649215,99.6425883,5.9 , 6.7,6.3
เพชรบุรี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2556,3.9 - 5.0,12.9649215,99.6425883,3.9 , 5.0,4.45
เพชรบุรี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2557,4.5 - 5.0,12.9649215,99.6425883,4.5 ,5,4.75
เพชรบุรี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2558,4.0 - 6.8,12.9649215,99.6425883,4.0 , 6.8,5.4
เพชรบุรี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2554,5.3-7.2,12.9649215,99.6425883,5.3,7.2,6.25
เพชรบุรี,ปริมาณออกซิเจนละลายน้ำมก./ล.,2553,4.8 - 7.4,12.9649215,99.6425883,4.8 , 7.4,6.1
ระนอง - พังงา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2541,6.7 - 7.4,9.286013,98.302917,6.7 , 7.4,7.05
ระนอง - พังงา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2542,6.1 - 7.0,9.286013,98.302917,6.1 , 7.0,6.55
ระนอง - พังงา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2543,4.0 - 6.0,9.286013,98.302917,4.0 , 6.0,5
ระนอง - พังงา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2544,6.3 - 6.5,9.286013,98.302917,6.3 ,6.5,6.4
ระนอง - พังงา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2545,5.3-7.9,9.286013,98.302917,5.3,7.9,6.6
ระนอง - พังงา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2546,5.4-6.9,9.286013,98.302917,5.4,6.9,6.15
ระนอง - พังงา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2547,8.0 - 8.7,9.286013,98.302917,8.0 , 8.7,8.35
ระนอง - พังงา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2548,5.7 - 7.5,9.286013,98.302917,5.7 , 7.5,6.6
ระนอง - พังงา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2549,5.8 - 7.6,9.286013,98.302917,5.8 , 7.6,6.7
ระนอง - พังงา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2550,5.3 - 6.81,9.286013,98.302917,5.3 ,6.81,6.055
ระนอง - พังงา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2551,5.64 - 6.59,9.286013,98.302917,5.64 , 6.59,6.115
ระนอง - พังงา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2552,3.70-5.74,9.286013,98.302917,3.70,5.74,4.72
ระนอง - พังงา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2553,3.97 - 5.53,9.286013,98.302917,3.97 , 5.53,4.75
ระนอง - พังงา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2554,5.19-6.42,9.286013,98.302917,5.19,6.42,5.805
ระนอง - พังงา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2555,3.68-4.61,9.286013,98.302917,3.68,4.61,4.145
ระนอง - พังงา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2556,5.81 - 6.59,9.286013,98.302917,5.81 , 6.59,6.2
ระนอง - พังงา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2557,4.26 - 5.41,9.286013,98.302917,4.26 , 5.41,4.835
ระนอง - พังงา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2558,5.2 - 6.7,9.286013,98.302917,5.2 , 6.7,5.95
แหลมแม่พิมพ์,ปริมาณออกซิเจนละลายน้ำมก./ล.,2557,5.83 - 6.64,12.6490507,101.6205738,5.83 , 6.64,6.235
แหลมแม่พิมพ์,ปริมาณออกซิเจนละลายน้ำมก./ล.,2558,4.56-6.83,12.6490507,101.6205738,4.56,6.83,5.695
มาบตาพุด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2541,6.1-6.7,12.7050978,101.171274,6.1,6.7,6.4
มาบตาพุด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2542,5.8 - 6.8,12.7050978,101.171274,5.8 , 6.8,6.3
มาบตาพุด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2543,6.3 - 6.9,12.7050978,101.171274,6.3 , 6.9,6.6
มาบตาพุด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2544,6.2 - 7.6,12.7050978,101.171274,6.2 , 7.6,6.9
มาบตาพุด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2545,6.80 - 7.67,12.7050978,101.171274,6.80 , 7.67,7.235
มาบตาพุด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2546,6.18 - 6.57,12.7050978,101.171274,6.18 , 6.57,6.375
มาบตาพุด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2547,3.34-6.30,12.7050978,101.171274,3.34,6.30,4.82
มาบตาพุด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2548,4.42 - 5.72,12.7050978,101.171274,4.42 , 5.72,5.07
มาบตาพุด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2549,5.07-5.56,12.7050978,101.171274,5.07,5.56,5.315
มาบตาพุด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2550,0.13-4.76,12.7050978,101.171274,0.13,4.76,2.445
มาบตาพุด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2551,5.76 - 6.35,12.7050978,101.171274,5.76 , 6.35,6.055
มาบตาพุด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2552,5.45 - 5.91,12.7050978,101.171274,5.45 , 5.91,5.68
มาบตาพุด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2553,4.3 - 7.1,12.7050978,101.171274,4.3 , 7.1,5.7
มาบตาพุด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2554,5.8 - 8.3,12.7050978,101.171274,5.8 , 8.3,7.05
มาบตาพุด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2555,6.3 - 7.6,12.7050978,101.171274,6.3 , 7.6,6.95
มาบตาพุด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2556,6.55 - 8.50,12.7050978,101.171274,6.55 , 8.50,7.525
มาบตาพุด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2557,5.5 - 8.13,12.7050978,101.171274,5.5 ,8.13,6.815
มาบตาพุด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2558,2.23-7.00,12.7050978,101.171274,2.23,7.00,4.615
สงขลา (หาดสมิหลา หาดสทิงพระ),ปริมาณออกซิเจนละลายน้ำมก./ล.,2542,5.8 - 7.3,7.21640288,100.5972919,5.8 , 7.3,6.55
สงขลา (หาดสมิหลา หาดสทิงพระ),ปริมาณออกซิเจนละลายน้ำมก./ล.,2543,4.63 - 6.70,7.21640288,100.5972919,4.63 , 6.70,5.665
สงขลา (หาดสมิหลา หาดสทิงพระ),ปริมาณออกซิเจนละลายน้ำมก./ล.,2544,3.77 - 5.88,7.21640288,100.5972919,3.77 , 5.88,4.825
สงขลา (หาดสมิหลา หาดสทิงพระ),ปริมาณออกซิเจนละลายน้ำมก./ล.,2545,4.7 - 6.8,7.21640288,100.5972919,4.7 , 6.8,5.75
สงขลา (หาดสมิหลา หาดสทิงพระ),ปริมาณออกซิเจนละลายน้ำมก./ล.,2546,7.1 - 8.6,7.21640288,100.5972919,7.1 , 8.6,7.85
สงขลา (หาดสมิหลา หาดสทิงพระ),ปริมาณออกซิเจนละลายน้ำมก./ล.,2547,3.5 - 7.4,7.21640288,100.5972919,3.5 , 7.4,5.45
สงขลา (หาดสมิหลา หาดสทิงพระ),ปริมาณออกซิเจนละลายน้ำมก./ล.,2548,5.2 - 6.2,7.21640288,100.5972919,5.2 , 6.2,5.7
สงขลา (หาดสมิหลา หาดสทิงพระ),ปริมาณออกซิเจนละลายน้ำมก./ล.,2549,6.4-7.4,7.21640288,100.5972919,6.4,7.4,6.9
สงขลา (หาดสมิหลา หาดสทิงพระ),ปริมาณออกซิเจนละลายน้ำมก./ล.,2550,6.3 - 6.7,7.21640288,100.5972919,6.3 , 6.7,6.5
สงขลา (หาดสมิหลา หาดสทิงพระ),ปริมาณออกซิเจนละลายน้ำมก./ล.,2551,6.09-6.41,7.21640288,100.5972919,6.09,6.41,6.25
สงขลา (หาดสมิหลา หาดสทิงพระ),ปริมาณออกซิเจนละลายน้ำมก./ล.,2552,3.45-7.02,7.21640288,100.5972919,3.45,7.02,5.235
สงขลา (หาดสมิหลา หาดสทิงพระ),ปริมาณออกซิเจนละลายน้ำมก./ล.,2553,5.90 - 6.50,7.21640288,100.5972919,5.90 , 6.50,6.2
สงขลา (หาดสมิหลา หาดสทิงพระ),ปริมาณออกซิเจนละลายน้ำมก./ล.,2554,5.25 - 7.56,7.21640288,100.5972919,5.25 , 7.56,6.405
สงขลา (หาดสมิหลา หาดสทิงพระ),ปริมาณออกซิเจนละลายน้ำมก./ล.,2555,6.6 - 7.8,7.21640288,100.5972919,6.6 , 7.8,7.2
สงขลา (หาดสมิหลา หาดสทิงพระ),ปริมาณออกซิเจนละลายน้ำมก./ล.,2556,3.9-7.8,7.21640288,100.5972919,3.9,7.8,5.85
สงขลา (หาดสมิหลา หาดสทิงพระ),ปริมาณออกซิเจนละลายน้ำมก./ล.,2557,4.6 - 5.7,7.21640288,100.5972919,4.6 , 5.7,5.15
สงขลา (หาดสมิหลา หาดสทิงพระ),ปริมาณออกซิเจนละลายน้ำมก./ล.,2558,6.4 - 7.8,7.21640288,100.5972919,6.4 , 7.8,7.1
สงขลา (หาดสมิหลา หาดสทิงพระ),ปริมาณออกซิเจนละลายน้ำมก./ล.,2541,5.22 - 7.89,7.21640288,100.5972919,5.22 , 7.89,6.555
ศรีราชา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2542,3.05 - 7.84,13.1641308,100.9216588,3.05 , 7.84,5.445
ศรีราชา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2543,4.0 - 5.0,13.1641308,100.9216588,4.0 , 5.0,4.5
ศรีราชา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2544,4.8 - 6.8,13.1641308,100.9216588,4.8 , 6.8,5.8
ศรีราชา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2545,5.6 - 7.9,13.1641308,100.9216588,5.6 , 7.9,6.75
ศรีราชา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2546,4.6 - 6.2,13.1641308,100.9216588,4.6 , 6.2,5.4
ศรีราชา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2547,5.4 - 8.0,13.1641308,100.9216588,5.4 , 8.0,6.7
ศรีราชา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2548,5.5-6.9,13.1641308,100.9216588,5.5,6.9,6.2
ศรีราชา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2549,6.9-9.3,13.1641308,100.9216588,6.9,9.3,8.1
ศรีราชา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2550,5.2 - 6.0,13.1641308,100.9216588,5.2 , 6.0,5.6
ศรีราชา,ปริมาณออกซิเจนละลายน้ำมก./ล.,2551,5.2 - 8.1,13.1641308,100.9216588,5.2 , 8.1,6.65
